'''
Example output 1:
162 194 104
158 147 135
56 24 160
162 194 104

Example output 2:
11 36 174
174 135 162
177 32 24
113 152 44
59 170 117
11 36 174

Example output 3:
120 199 34
199 173 30
175 53 76
144 39 130
173 101 186
153 196 97
137 199 93
120 199 34


82 154 42
62 178 91
73 172 125
114 166 132
123 183 59
152 177 2
153 158 10
180 129 12
187 75 17
195 118 32
170 150 32
18 113 30
5 93 66
17 39 30
47 41 63
66 76 69
43 34 106
50 16 132
44 16 170
4 111 116
46 123 72
78 87 48
110 56 42
170 40 13
151 88 40
197 94 100
179 127 123
169 124 149
139 138 103
96 125 92
135 87 121
183 135 172
151 191 162
74 168 182
41 154 149
99 120 136
108 91 155
86 85 139
54 53 127
56 95 164
97 69 181
142 16 189
80 0 133
135 26 116
85 92 107
87 101 55
44 192 36
39 153 17
19 156 5
111 148 27
187 75 17
